Order Date,Sales
2015-01-31,14205.707
2015-02-28,4519.892
2015-03-31,55205.797
2015-04-30,27906.855
2015-05-31,23644.303
2015-06-30,34322.9356
2015-07-31,33781.543
2015-08-31,27117.5365
2015-09-30,81623.5268
2015-10-31,31453.393
2015-11-30,77907.66070000001
2015-12-31,68167.0585
2016-01-31,18066.9576
2016-02-29,11951.411
2016-03-31,32339.3184
2016-04-30,34154.4685
2016-05-31,29959.5305
2016-06-30,23599.374
2016-07-31,28608.259000000002
2016-08-31,36818.3422
2016-09-30,63133.606
2016-10-31,31011.7375
2016-11-30,70129.2995
2016-12-31,74543.6012
2017-01-31,16870.181
2017-02-28,22978.815000000002
2017-03-31,51165.059
2017-04-30,37385.017
2017-05-31,56656.908
2017-06-30,39724.486
2017-07-31,38320.783
2017-08-31,30542.2003
2017-09-30,69193.3909
2017-10-31,59583.033
2017-11-30,79066.4958
2017-12-31,95739.121
2018-01-31,42839.294
2018-02-28,19920.9974
2018-03-31,58863.4128
2018-04-30,35541.9101
2018-05-31,43825.9822
2018-06-30,48190.7277
2018-07-31,44825.104
2018-08-31,62837.848
2018-09-30,86152.888
2018-10-31,77448.1312
2018-11-30,117938.155
2018-12-31,82825.3588
