ds,yhat
2015-01-31,14262.251567773528
2015-02-28,2266.7669101194224
2015-03-31,52225.447531780585
2015-04-30,21375.97536607076
2015-05-31,23182.06560434187
2015-06-30,30334.105242356483
2015-07-31,26089.37800381483
2015-08-31,24930.808509948874
2015-09-30,70506.72123983965
2015-10-31,37596.07863640002
2015-11-30,81204.01952510819
2015-12-31,62588.23191769513
2016-01-31,18957.37214422316
2016-02-29,14538.676954692783
2016-03-31,33161.80207667223
2016-04-30,32238.872738087426
2016-05-31,39784.02712701335
2016-06-30,28171.838023443368
2016-07-31,31823.628807243032
2016-08-31,38597.906604597556
2016-09-30,63958.3574550443
2016-10-31,46208.68151012728
2016-11-30,75053.06889128008
2016-12-31,81613.15305230248
2017-01-31,24899.547971648815
2017-02-28,18019.05269437788
2017-03-31,47587.434688907735
2017-04-30,37192.95119579761
2017-05-31,43036.24808510554
2017-06-30,38011.72257594801
2017-07-31,39478.1634153264
2017-08-31,43887.90873076634
2017-09-30,76384.6980417911
2017-10-31,53975.751394094965
2017-11-30,87944.57838084857
2017-12-31,86233.97639066994
2018-01-31,33894.647855539835
2018-02-28,24584.088305274523
2018-03-31,64603.04376322178
2018-04-30,44232.14373524997
2018-05-31,48162.89770782487
2018-06-30,49395.786072919516
2018-07-31,48230.16737983461
2018-08-31,49995.83696698632
2018-09-30,89233.94058326716
2018-10-31,61771.23915798951
2018-11-30,100780.23347890339
2018-12-31,90797.81685265154
2019-01-31,42942.922173658575
2019-02-28,31284.729217781685
2019-03-31,81616.83993738025
2019-04-30,51128.75173760367
2019-05-31,53308.27207571213
2019-06-30,60821.695679877455
